,,,,
Theme: Industry,,,,
"Subject: Agriculture, Animal Production and Fisheries",,,,
  2006 Apr,243,14284,6007,na
  2006 Mar,297,13697,5870,na
  2006 Feb,234,10762,4827,na
  2006 Jan,92,11234,4017,na
  2005 Dec,122,13271,4722,na
  2005 Nov,195,10707,3513,na
  2005 Oct,151,12339,3982,na
  2005 Sep,159,12363,4317,na
  2005 Aug,144,11880,5358,na
  2005 Jul,183,13539,6278,na
  2005 Jun,169,14112,7228,na
  2005 May,146,11088,4199,na
  2005 Apr,151,10967,4271,na
  2005 Mar,168,14417,6896,na
  2005 Feb,218,11128,4417,na
  2005 Jan,114,13302,5513,na
  2004 Dec,143,12350,5348,na
  2004 Nov,166,12419,5505,na
  2004 Oct,223,13205,5810,na
  2004 Sep,224,14109,6792,na
  2004 Aug,234,13074,6822,na
  2004 Jul,211,14200,7442,na
  2004 Jun,170,13156,6122,na
  2004 May,164,12172,4879,na
  2004 Apr,142,12275,4923,na
  2004 Mar,183,12505,4946,na
  2004 Feb,143,11948,5820,na
  2004 Jan,170,10857,3430,na
  2003 Dec,194,11686,4291,na
  2003 Nov,216,11116,4615,na
  2003 Oct,233,12435,4754,na
  2003 Sep,201,12188,6444,na
  2003 Aug,234,12846,5584,na
  2003 Jul,141,14756,6574,na
  2003 Jun,162,10860,5666,na
  2003 May,139,11899,5150,na
  2003 Apr,115,11707,4091,na
  2003 Mar,198,13074,5375,na
  2003 Feb,111,10380,3785,na
  2003 Jan,141,11654,4247,na
  2002 Dec,211,8487,3185,na
  2002 Nov,218,7719,4450,na
  2002 Oct,255,9794,3838,na
  2002 Sep,270,8019,3869,na
  2002 Aug,235,8202,4238,na
  2002 Jul,215,9177,4652,na
  2002 Jun,269,8835,6945,na
  2002 May,218,8670,5610,na
  2002 Apr,198,8414,4986,na
  2002 Mar,243,8351,4708,na
  2002 Feb,183,6941,6290,na
  2002 Jan,254,9405,5152,na
  2001 Dec,na,7629,4174,na
  2001 Nov,na,8263,5102,na
  2001 Oct,na,9471,6241,na
  2001 Sep,na,8112,5581,na
  2001 Aug,na,8872,6309,na
  2001 Jul,na,9809,6358,na
  2001 Jun,na,6906,6909,na
  2001 May,na,7916,6731,na
  2001 Apr,na,10096,7289,na
  2001 Mar,na,9977,7625,na
  2001 Feb,na,8467,7499,na
  2001 Jan,na,8807,5421,na
  2000 Dec,na,9743,8193,na
  2000 Nov,na,10164,9228,na
  2000 Oct,na,9687,7912,na
  2000 Sep,na,10908,9201,na
  2000 Aug,na,10783,8601,na
  2000 Jul,na,11187,7480,na
  2000 Jun,na,9624,8527,na
  2000 May,na,8345,6798,na
  2000 Apr,na,8909,6534,na
  2000 Mar,na,10974,8242,na
  2000 Feb,na,8738,6897,na
  2000 Jan,na,9167,6151,na
  1999 Dec,na,13002,8112,na
  1999 Nov,na,8960,6510,na
  1999 Oct,na,9974,5939,na
  1999 Sep,na,14783,7848,na
  1999 Aug,na,12555,8312,na
  1999 Jul,na,12762,9699,na
  1999 Jun,na,11617,8661,na
  1999 May,na,7793,7389,na
  1999 Apr,na,7375,5381,na
  1999 Mar,na,9544,7152,na
  1999 Feb,na,7546,7777,na
  1999 Jan,na,8477,7822,na
,,,,
Footnotes:,,,,
"Seafood refers to fish, crustaceans and molluscs.",,,,
Local Landings Of Seafood (Tonnes):,,,,
"Refers to seafood catch from local waters.  Prior to Apr 2019, data were from Agri-Food and Veterinary Authority of Singapore.  From 1 April 2019, Singapore Food Agency took over food-related functions previously carried out by former Agri-Food & Veterinary Authority of Singapore, National Environment Agency, and Health Sciences Authority.",,,,
Imports Of Seafood (Tonnes):,,,,
"Prior to January 2003, data excludes trade with Indonesia.  Data on imports and exports of seafood are based on Standard International Trade Classification Rev 4.1 and consistent with the ASEAN Harmonised Tariff Nomenclature 2017 version.  Excludes dried, salted and fish in brine. ",,,,
Exports Of Seafood (Tonnes):,,,,
"Prior to January 2003, data excludes trade with Indonesia.  Data on imports and exports of seafood are based on Standard International Trade Classification Rev 4.1 and consistent with the ASEAN Harmonised Tariff Nomenclature 2017 version.  Excludes dried, salted and fish in brine. ",,,,
Seafood Wholesale (Tonnes):,,,,
"Refers to seafood sold at Singapore's fishery ports and include local landings of seafood and imports of seafood.  Includes fresh, frozen seafood and 'Low-value fish'.  From 1 April 2019, Singapore Food Agency took over food-related functions previously carried out by former Agri-Food & Veterinary Authority of Singapore, National Environment Agency, and Health Sciences Authority.",,,,
,,,,
Notation:,,,,
na   not available or not applicable,,,,
nec  not elsewhere classified,,,,
nes  not elsewhere specified,,,,
 -     nil or negligible or not significant,,,,
Notes,,,,
Numbers may not add up to the totals due to rounding.,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,
,,,,
Generated by: SingStat Table Builder,,,,
Date generated: 15/02/2023,,,,
Contact: info@singstat.gov.sg,,,,
